step,loss
0,1.0146083e-05
10,7.724124e-06
20,1.28526335e-05
30,1.4761261e-05
40,1.606611e-05
50,1.690867e-05
60,1.39651975e-05
70,1.5149684e-05
80,9.034214e-06
90,1.4762236e-05
100,1.143312e-05
110,1.1548021e-05
120,1.1514998e-05
130,1.0043958e-05
140,7.864602e-06
150,1.4338159e-05
160,1.2483493e-05
170,1.1542903e-05
180,1.1005178e-05
190,1.0924224e-05
200,1.2314747e-05
210,1.4096024e-05
220,1.256997e-05
230,1.3108163e-05
240,1.1536017e-05
250,8.693659e-06
260,9.867927e-06
270,9.983724e-06
280,1.1345352e-05
290,1.799718e-05
300,1.1308931e-05
310,1.2793064e-05
320,8.986397e-06
330,1.2696063e-05
340,6.4779983e-06
350,1.0391027e-05
360,8.62587e-06
370,1.16378205e-05
380,1.09275925e-05
390,1.1087884e-05
400,1.2733444e-05
410,9.811318e-06
420,8.186698e-06
430,1.11002655e-05
440,1.1406391e-05
450,9.871769e-06
460,8.240755e-06
470,1.1679492e-05
480,1.1690001e-05
490,1.2756132e-05
500,1.2139976e-05
510,9.366286e-06
520,1.2534337e-05
530,1.1685679e-05
540,1.2201497e-05
550,1.2837684e-05
560,1.2757067e-05
570,1.4530805e-05
580,1.563691e-05
590,9.52792e-06
600,1.1209361e-05
610,1.4188222e-05
620,1.0000099e-05
630,1.289209e-05
640,8.988865e-06
650,1.2076555e-05
660,1.2349571e-05
670,1.0679946e-05
680,1.2535092e-05
690,1.4049957e-05
700,1.1228428e-05
710,1.0631733e-05
720,8.667794e-06
730,1.3317498e-05
740,1.0532078e-05
750,1.3178268e-05
760,1.27515395e-05
770,1.1902623e-05
780,1.3644193e-05
790,1.4502138e-05
800,8.2691295e-06
810,1.0400884e-05
820,1.4418516e-05
830,6.901592e-06
840,9.802067e-06
850,1.025306e-05
860,9.744754e-06
870,9.636045e-06
880,1.0354185e-05
890,1.0736411e-05
900,9.870927e-06
910,1.3566082e-05
920,1.0674896e-05
930,1.8113886e-05
940,1.111878e-05
950,9.83999e-06
960,1.2789748e-05
970,1.2047796e-05
980,1.0131748e-05
990,1.055001e-05
1000,1.549846e-05
1010,1.1903426e-05
1020,9.655853e-06
1030,1.26896875e-05
1040,1.2011664e-05
1050,1.2512196e-05
1060,1.2898672e-05
1070,9.186348e-06
1080,1.1454317e-05
1090,1.0319438e-05
